[rosmaster.main][INFO] 2021-04-08 12:31:20,775: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-04-08 12:31:20,776: Starting ROS Master Node
[xmlrpc][INFO] 2021-04-08 12:31:20,779: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2021-04-08 12:31:20,780: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2021-04-08 12:31:20,781: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2021-04-08 12:31:20,782: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-04-08 12:31:20,824: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-08 12:31:20,828: +PARAM [/roslaunch/uris/host_localhost__46227] by /roslaunch
[rosmaster.master][INFO] 2021-04-08 12:31:20,925: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-04-08 12:31:20,926: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-04-08 12:31:21,311: +SERVICE [/rosout/get_loggers] /rosout http://localhost:40617/
[rosmaster.master][INFO] 2021-04-08 12:31:21,313: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:40617/
[rosmaster.master][INFO] 2021-04-08 12:31:21,318: +PUB [/rosout_agg] /rosout http://localhost:40617/
[rosmaster.master][INFO] 2021-04-08 12:31:21,327: +SUB [/rosout] /rosout http://localhost:40617/
[rosmaster.master][INFO] 2021-04-08 12:33:52,460: -PUB [/rosout_agg] /rosout http://localhost:40617/
[rosmaster.master][INFO] 2021-04-08 12:33:52,462: -SUB [/rosout] /rosout http://localhost:40617/
[rosmaster.master][INFO] 2021-04-08 12:33:52,464: -SERVICE [/rosout/get_loggers] /rosout rosrpc://localhost:47031
[rosmaster.master][INFO] 2021-04-08 12:33:52,466: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://localhost:47031
[rosmaster.main][INFO] 2021-04-08 12:33:52,543: keyboard interrupt, will exit
[rosmaster.main][INFO] 2021-04-08 12:33:52,544: stopping master...
[rospy.core][INFO] 2021-04-08 12:33:52,545: signal_shutdown [atexit]
